v_index	tmin	tmax	file_name	MD5_hash	creator	video_id	width	height	codec_name	bit_rate	nb_frames	pix_fmt	duration	r_frame_rate	horizontal_flip	vertical_flip
37	420	480	apple_4109D42A-D717-46A7-A9A2-FE53A82B25C0.mov	84fb55fc7e11b97cf962d742fecf596f	apple	4109D42A-D717-46A7-A9A2-FE53A82B25C0	3840	2160	hevc	13907419	153649	yuv420p10le	640.844999	5994/25	0	0
38	125	130	apple_44166C39-8566-4ECA-BD16-43159429B52F.mov	9a00d440bf926dfd0e89b88ec168acd5	apple	44166C39-8566-4ECA-BD16-43159429B52F	3840	2160	hevc	8939179	57553	yuv420p10le	240.043335	5994/25	0	0
39	200	220	apple_473C2FDC-0B75-497A-B1FE-AA1863C9C885.mov	ba0676e97f17d06b906dab2259fd2669	apple	473C2FDC-0B75-497A-B1FE-AA1863C9C885	3840	2160	hevc	15709696	69601	yuv420p10le	290.293335	5994/25	0	0
40	40	45	apple_47BC0599-72E7-43C4-8BE1-CBCE2432E2A5.mov	408fa70e7a2dd48c1ddc3442a272462f	apple	47BC0599-72E7-43C4-8BE1-CBCE2432E2A5	3840	2160	hevc	13651346	87105	yuv420p10le	363.300000	5994/25	0	0
41	110	120	apple_4A3590EC-FF30-41E7-85FE-210FF6112917.mov	e354bf5ea59112f85e6399987eb83eb0	apple	4A3590EC-FF30-41E7-85FE-210FF6112917	3840	2160	hevc	14534298	33601	yuv420p10le	140.143335	5994/25	0	0
42	240	250	apple_4F881F8B-A7D9-4FDB-A917-17BF6AC5A589.mov	f7a5defeaa62da2ec9983676ed3ec2e0	apple	4F881F8B-A7D9-4FDB-A917-17BF6AC5A589	3840	2160	hevc	9132487	86305	yuv420p10le	359.963334	5994/25	0	0
43	20	27	apple_537A4DAB-83B0-4B66-BCD1-05E5DBB4A268.mov	92e69771a3e7803ba31522bf83a04a51	apple	537A4DAB-83B0-4B66-BCD1-05E5DBB4A268	3840	2160	hevc	12660063	29681	yuv420p10le	123.793335	5994/25	0	0
44	115	125	apple_581A4F1A-2B6D-468C-A1BE-6F473F06D10B.mov	a79644cabaaa221ff2fc5f2141c85d16	apple	581A4F1A-2B6D-468C-A1BE-6F473F06D10B	3840	2160	hevc	11471316	49953	yuv420p10le	208.344999	5994/25	0	0
45	115	125	apple_58C75C62-3290-47B8-849C-56A583173570.mov	68e2c1e21c806b6b4a0034914251d2d4	apple	58C75C62-3290-47B8-849C-56A583173570	3840	2160	hevc	14757925	57601	yuv420p10le	240.243335	5994/25	0	0
46	15	30	apple_5C987900-AD53-469C-8210-CABBCCDDFCAE.mov	babdef77853253b576718a00b3b5b064	apple	5C987900-AD53-469C-8210-CABBCCDDFCAE	3840	2160	hevc	14812213	115569	yuv420p10le	482.018335	5994/25	0	0
47	195	200	apple_6143116D-03BB-485E-864E-A8CF58ACF6F1.mov	2c5bb6efeb064b92cefc84c0c4ffe5e0	apple	6143116D-03BB-485E-864E-A8CF58ACF6F1	3840	2160	hevc	12409321	57585	yuv420p10le	240.176668	5994/25	0	0
48	215	225	apple_63C042F0-90EF-4A95-B7CC-CC9A64BF8421.mov	2177e4f98c3f423a49f75a15a23f15e8	apple	63C042F0-90EF-4A95-B7CC-CC9A64BF8421	3840	2160	hevc	8956313	63377	yuv420p10le	264.335002	5994/25	0	0
49	0	10	apple_64D11DAB-3B57-4F14-AD2F-E59A9282FA44.mov	eb15cb4428fab8b4eb381276ec639573	apple	64D11DAB-3B57-4F14-AD2F-E59A9282FA44	3840	2160	hevc	9177438	51985	yuv420p10le	216.819999	5994/25	0	0
50	225	235	apple_687D03A2-18A5-4181-8E85-38F3A13409B9.mov	a69b67450ee1db2814987758b22b5e6a	apple	687D03A2-18A5-4181-8E85-38F3A13409B9	3840	2160	hevc	14221051	57841	yuv420p10le	241.244999	5994/25	0	0
51	180	190	apple_737E9E24-49BE-4104-9B72-F352DE1AD2BF.mov	899cc86700788b201ab1ccbfd771369a	apple	737E9E24-49BE-4104-9B72-F352DE1AD2BF	3840	2160	hevc	9350849	76465	yuv420p10le	318.921668	5994/25	0	0
52	90	140	apple_7530C83C-8F7B-42C6-BB71-5FA2ED070BEC.mov	3bd9c902a77443f2aa189e0e229630fb	apple	7530C83C-8F7B-42C6-BB71-5FA2ED070BEC	3840	2160	hevc	13992349	58321	yuv420p10le	243.246668	5994/25	0	0
53	115	120	apple_7719B48A-2005-4011-9280-2F64EEC6FD91.mov	4548019deeded28cc5500e48f4e47d83	apple	7719B48A-2005-4011-9280-2F64EEC6FD91	3840	2160	hevc	7911831	71825	yuv420p10le	299.569999	5994/25	0	0
54	0	30	apple_78911B7E-3C69-47AD-B635-9C2486F6301D.mov	53312065a198168dfe3e8bd28264736e	apple	78911B7E-3C69-47AD-B635-9C2486F6301D	3840	2160	hevc	10790918	50401	yuv420p10le	210.213334	5994/25	0	0
55	60	70	apple_7C643A39-C0B2-4BA0-8BC2-2EAA47CC580E.mov	08319cb58ed6facc3f3c288c4ef238e1	apple	7C643A39-C0B2-4BA0-8BC2-2EAA47CC580E	3840	2160	hevc	7863355	59457	yuv420p10le	247.985002	5994/25	0	0
56	0	60	apple_8002C4C8-C611-4894-A068-3D3A3C03472A.mov	b4be1080bef0ebe071cb9c0772cf1192	apple	8002C4C8-C611-4894-A068-3D3A3C03472A	3840	2160	hevc	14583507	66465	yuv420p10le	277.213334	5994/25	0	0
57	235	255	apple_81CA5ACD-E682-4D8B-A948-0F147EB6ED4F.mov	b792d843c85e79c35d0a8acf6c1bfec0	apple	81CA5ACD-E682-4D8B-A948-0F147EB6ED4F	3840	2160	hevc	13027148	77089	yuv420p10le	321.525000	5994/25	0	0
58	135	140	apple_82175C1F-153C-4EC8-AE37-2860EA828004.mov	e0b3af411db5ad6d9e07744173d6071f	apple	82175C1F-153C-4EC8-AE37-2860EA828004	3840	2160	hevc	11529567	57793	yuv420p10le	241.044999	5994/25	0	0
59	53	60	apple_83C65C90-270C-4490-9C69-F51FE03D7F06.mov	86715c1c249a90fff7c95ea789dc4d67	apple	83C65C90-270C-4490-9C69-F51FE03D7F06	3840	2160	hevc	13712001	55585	yuv420p10le	231.835002	5994/25	0	0
60	0	40	apple_840FE8E4-D952-4680-B1A7-AC5BACA2C1F8.mov	8c3f37fe0df5fb2370a49f50d9970b6f	apple	840FE8E4-D952-4680-B1A7-AC5BACA2C1F8	3840	2160	hevc	8462902	57601	yuv420p10le	240.243335	5994/25	0	0
61	400	415	apple_8590D0C5-E344-4FAC-A39A-FD7BC652AEDA.mov	5325ed459af30fcbdb40fdff7b814ed5	apple	8590D0C5-E344-4FAC-A39A-FD7BC652AEDA	3840	2160	hevc	13137260	217121	yuv420p10le	905.575000	5994/25	0	0
62	65	75	apple_87060EC2-D006-4102-98CC-3005C68BB343.mov	17cf0f94939b7fd22df0444458dae606	apple	87060EC2-D006-4102-98CC-3005C68BB343	3840	2160	hevc	8496410	115217	yuv420p10le	480.550000	5994/25	0	0
63	150	170	apple_8A57476A-E177-4AAD-B317-643F681584E1.mov	398cfad693082434e51d42823324b365	apple	8A57476A-E177-4AAD-B317-643F681584E1	3840	2160	hevc	12396167	126001	yuv420p10le	525.528332	5994/25	0	0
64	557	562	apple_8ACF5D77-B22C-416F-B12A-72FB35E2834F.mov	8f89d136b2d137e2b97757a6629a5154	apple	8ACF5D77-B22C-416F-B12A-72FB35E2834F	3840	2160	hevc	13446889	142065	yuv420p10le	592.530001	5994/25	0	0
65	12	17	apple_8C31B06F-91A4-4F7C-93ED-56146D7F48B9.mov	5ae94d0a2003e2d7a3b288dc2f699968	apple	8C31B06F-91A4-4F7C-93ED-56146D7F48B9	3840	2160	hevc	12314115	20225	yuv420p10le	84.355001	5994/25	0	0
66	120	155	apple_8D04D70F-738B-441D-8D43-AF46B2BF8062.mov	4ded22ab05ade7a69bcc997a4ea90eda	apple	8D04D70F-738B-441D-8D43-AF46B2BF8062	3840	2160	hevc	13007719	125729	yuv420p10le	524.394999	5994/25	0	0
67	360	365	apple_92E48DE9-13A1-4172-B560-29B4668A87EE.mov	60d63fa0ebc68e58f0b90594fc03b4fa	apple	92E48DE9-13A1-4172-B560-29B4668A87EE	3840	2160	hevc	10177390	193601	yuv420p10le	806.670000	240/1	0	0
68	0	240	apple_94DAB450-A650-4DFC-99B2-A0F0D8AD6649.mov	3f5f65f0c3a9d6366a6cdaca194e9b35	apple	94DAB450-A650-4DFC-99B2-A0F0D8AD6649	3840	2160	hevc	11559531	97201	yuv420p10le	405.408333	5994/25	0	0
69	180	270	apple_9680B8EB-CE2A-4395-AF41-402801F4D6A6.mov	c6b63f7205dcd49bae76b0d57364a857	apple	9680B8EB-CE2A-4395-AF41-402801F4D6A6	3840	2160	hevc	9002864	86401	yuv420p10le	360.363334	5994/25	0	0
70	195	250	apple_97447D85-960C-4B2A-A101-048284D95853.mov	5d4913d80d8411d11cc284f8925263d0	apple	97447D85-960C-4B2A-A101-048284D95853	3840	2160	hevc	13936505	82929	yuv420p10le	345.883333	5994/25	0	0
71	30	34	apple_9CCB8297-E9F5-4699-AE1F-890CFBD5E29C.mov	597a4959881c629240315a5333573fe2	apple	9CCB8297-E9F5-4699-AE1F-890CFBD5E29C	3840	2160	hevc	8397501	49585	yuv420p10le	206.810002	5994/25	0	0
72	210	220	apple_A168628E-11EE-4456-AD66-E7E3E47D1B21.mov	66d4bf93ed9f3c5f5c4a451b41c53150	apple	A168628E-11EE-4456-AD66-E7E3E47D1B21	3840	2160	hevc	11706726	86401	yuv420p10le	360.363334	5994/25	0	0
73	170	175	apple_A837FA8C-C643-4705-AE92-074EFDD067F7.mov	626402d0d3234d46fdf8e3e32edbd3a5	apple	A837FA8C-C643-4705-AE92-074EFDD067F7	3840	2160	hevc	9233378	59953	yuv420p10le	250.053332	5994/25	0	0
74	110	115	apple_AA5E82B9-289A-480C-A14B-242989107275.mov	4dd3eb0f6c57a40be8ab6898964e8523	apple	AA5E82B9-289A-480C-A14B-242989107275	3840	2160	hevc	12568381	73665	yuv420p10le	307.243335	5994/25	0	0
75	120	165	apple_AB7FC3C3-8853-45CD-AB6E-89F0985C2922.mov	5c023af0fddf95199791425678bf1469	apple	AB7FC3C3-8853-45CD-AB6E-89F0985C2922	3840	2160	hevc	12742660	72497	yuv420p10le	302.371668	5994/25	0	0
76	440	540	apple_AE0115AE-C53B-4DB9-B12F-CA4B7B630CC9.mov	231aa425d309e835f713aaa3046a6ebf	apple	AE0115AE-C53B-4DB9-B12F-CA4B7B630CC9	3840	2160	hevc	12543877	129601	yuv420p10le	540.543335	5994/25	0	0
77	150	179	apple_AFA22C08-A486-4CE8-9A13-E355B6C38559.mov	0cb4c0df64c694d7b0bf33b86bda6ee5	apple	AFA22C08-A486-4CE8-9A13-E355B6C38559	3840	2160	hevc	8654370	43201	yuv420p10le	180.183333	5994/25	0	0
78	360	480	apple_B004358B-5A27-42E5-B49E-93FC100B2371.mov	9a997bdc2a7e9151c11ef757988c34fd	apple	B004358B-5A27-42E5-B49E-93FC100B2371	3840	2160	hevc	13922910	135009	yuv420p10le	563.100000	5994/25	0	0
79	90	105	apple_B1B5DDC5-73C8-4920-8133-BACCE38A08DE.mov	f226aa8d17cbc275acaffc6947eb8621	apple	B1B5DDC5-73C8-4920-8133-BACCE38A08DE	3840	2160	hevc	7591371	79201	yuv420p10le	330.333333	5994/25	0	0
80	120	150	apple_B8F204CE-6024-49AB-85F9-7CA2F6DCD226.mov	9473445f37d8b4b013a16da419105587	apple	B8F204CE-6024-49AB-85F9-7CA2F6DCD226	3840	2160	hevc	8432660	69041	yuv420p10le	287.958333	5994/25	0	0
81	100	110	apple_BA4ECA11-592F-4727-9221-D2A32A16EB28.mov	4d081c1d12306027db4aed3ae1922b1e	apple	BA4ECA11-592F-4727-9221-D2A32A16EB28	3840	2160	hevc	12480440	102785	yuv420p10le	428.698332	5994/25	0	0
82	95	105	apple_C3C48B18-E4AE-4A62-877D-0B0D74CDC9E0.mov	fc95f891d872128314ce3c93358857d3	apple	C3C48B18-E4AE-4A62-877D-0B0D74CDC9E0	3840	2160	hevc	8910830	65809	yuv420p10le	274.478332	5994/25	0	0
83	130	135	apple_C6DC4E54-1130-44F8-AF6F-A551D8E8A181.mov	4e95d3a484f541f6742f103a6cd832c4	apple	C6DC4E54-1130-44F8-AF6F-A551D8E8A181	3840	2160	hevc	14706876	45441	yuv420p10le	189.526668	5994/25	0	0
84	270	274	apple_C7AD3D0A-7EDF-412C-A237-B3C9D27381A1.mov	a9b5050a87652cb4cd3b3568bb488a0e	apple	C7AD3D0A-7EDF-412C-A237-B3C9D27381A1	3840	2160	hevc	12339115	92849	yuv420p10le	387.256665	5994/25	0	0
